
Episode 1060, Pursuer Reward: -2285.46, Evader Reward: 2285.46, Capture Rate (last20): 0.00, Final Dist: 5767.22
Episode 1080, Pursuer Reward: -2835.37, Evader Reward: 2835.37, Capture Rate (last20): 0.00, Final Dist: 3515.99
Episode 1100, Pursuer Reward: -1699.75, Evader Reward: 1699.75, Capture Rate (last20): 0.00, Final Dist: 6226.66
Episode 1120, Pursuer Reward: -2859.79, Evader Reward: 2859.79, Capture Rate (last20): 0.00, Final Dist: 12995.37
Episode 1140, Pursuer Reward: -3545.99, Evader Reward: 3545.99, Capture Rate (last20): 0.00, Final Dist: 11641.75
Episode 1160, Pursuer Reward: -5038.20, Evader Reward: 5038.20, Capture Rate (last20): 0.00, Final Dist: 8733.84
Episode 1180, Pursuer Reward: -4130.78, Evader Reward: 4130.78, Capture Rate (last20): 0.00, Final Dist: 8236.54
Episode 1200, Pursuer Reward: -1791.95, Evader Reward: 1791.95, Capture Rate (last20): 0.00, Final Dist: 2515.20
Episode 1220, Pursuer Reward: -4459.98, Evader Reward: 4459.98, Capture Rate (last20): 0.00, Final Dist: 8091.19
Episode 1240, Pursuer Reward: -2768.62, Evader Reward: 2768.62, Capture Rate (last20): 0.05, Final Dist: 8926.78
Episode 1260, Pursuer Reward: -1341.84, Evader Reward: 1349.59, Capture Rate (last20): 0.05, Final Dist: 3324.53
Episode 1280, Pursuer Reward: -2547.12, Evader Reward: 2547.12, Capture Rate (last20): 0.05, Final Dist: 3918.69
Episode 1300, Pursuer Reward: -2185.14, Evader Reward: 2185.14, Capture Rate (last20): 0.00, Final Dist: 1387.55
Episode 1320, Pursuer Reward: -3459.37, Evader Reward: 3459.37, Capture Rate (last20): 0.05, Final Dist: 7594.31
Episode 1340, Pursuer Reward: -2001.83, Evader Reward: 2001.83, Capture Rate (last20): 0.00, Final Dist: 7899.47
Episode 1360, Pursuer Reward: -3452.69, Evader Reward: 3452.69, Capture Rate (last20): 0.00, Final Dist: 9582.31
Episode 1380, Pursuer Reward: -2137.34, Evader Reward: 2137.34, Capture Rate (last20): 0.00, Final Dist: 5025.06
Episode 1400, Pursuer Reward: -3990.43, Evader Reward: 3990.43, Capture Rate (last20): 0.00, Final Dist: 3107.87
Episode 1420, Pursuer Reward: -1218.14, Evader Reward: 1231.18, Capture Rate (last20): 0.00, Final Dist: 2919.77
Episode 1440, Pursuer Reward: -2994.27, Evader Reward: 2994.27, Capture Rate (last20): 0.00, Final Dist: 5951.81
Episode 1460, Pursuer Reward: -2329.94, Evader Reward: 2329.94, Capture Rate (last20): 0.00, Final Dist: 5842.18
Episode 1480, Pursuer Reward: -1818.25, Evader Reward: 1818.25, Capture Rate (last20): 0.00, Final Dist: 6605.94
Episode 1500, Pursuer Reward: -1443.81, Evader Reward: 1443.81, Capture Rate (last20): 0.05, Final Dist: 6146.64
Episode 1520, Pursuer Reward: -2437.44, Evader Reward: 2437.44, Capture Rate (last20): 0.00, Final Dist: 3556.46
Episode 1540, Pursuer Reward: -3224.06, Evader Reward: 3224.06, Capture Rate (last20): 0.00, Final Dist: 5227.88
Episode 1560, Pursuer Reward: -2242.78, Evader Reward: 2242.78, Capture Rate (last20): 0.00, Final Dist: 3334.10
Episode 1580, Pursuer Reward: -1801.53, Evader Reward: 1801.53, Capture Rate (last20): 0.05, Final Dist: 5249.59
Episode 1600, Pursuer Reward: -1806.26, Evader Reward: 1806.26, Capture Rate (last20): 0.00, Final Dist: 5001.11
Episode 1620, Pursuer Reward: -1794.67, Evader Reward: 1794.67, Capture Rate (last20): 0.00, Final Dist: 2257.60
Episode 1640, Pursuer Reward: -1421.35, Evader Reward: 1421.35, Capture Rate (last20): 0.05, Final Dist: 6927.42
Episode 1660, Pursuer Reward: -1763.83, Evader Reward: 1763.83, Capture Rate (last20): 0.05, Final Dist: 4715.73
Episode 1680, Pursuer Reward: -1146.16, Evader Reward: 1146.16, Capture Rate (last20): 0.05, Final Dist: 701.22
Episode 1700, Pursuer Reward: -1424.68, Evader Reward: 1424.68, Capture Rate (last20): 0.10, Final Dist: 1711.38
Episode 1720, Pursuer Reward: -1313.11, Evader Reward: 1313.11, Capture Rate (last20): 0.10, Final Dist: 2512.37
Episode 1740, Pursuer Reward: -968.75, Evader Reward: 968.75, Capture Rate (last20): 0.00, Final Dist: 5367.25
Episode 1760, Pursuer Reward: -889.29, Evader Reward: 889.29, Capture Rate (last20): 0.00, Final Dist: 2694.75
Episode 1780, Pursuer Reward: -644.87, Evader Reward: 645.96, Capture Rate (last20): 0.00, Final Dist: 1595.88
Episode 1800, Pursuer Reward: -1233.41, Evader Reward: 1233.41, Capture Rate (last20): 0.05, Final Dist: 2528.69
Episode 1820, Pursuer Reward: -797.24, Evader Reward: 797.24, Capture Rate (last20): 0.15, Final Dist: 3862.44
Episode 1840, Pursuer Reward: -1030.38, Evader Reward: 1030.38, Capture Rate (last20): 0.00, Final Dist: 1358.00
Episode 1860, Pursuer Reward: -492.66, Evader Reward: 500.44, Capture Rate (last20): 0.00, Final Dist: 486.00
Episode 1880, Pursuer Reward: -895.99, Evader Reward: 906.11, Capture Rate (last20): 0.00, Final Dist: 1620.51
Episode 1900, Pursuer Reward: -1435.72, Evader Reward: 1435.72, Capture Rate (last20): 0.05, Final Dist: 2970.73
