Using device: cuda
开始训练...
Episode 440, 追击星奖励: -988.39, 逃逸星奖励: 988.39, 平均捕获率 (last20): 0.05, 终端距离: 3912.16, 终止原因: {'捕获': np.False_, '距离': np.float32(3912.1597), '时间': 711.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 460, 追击星奖励: -715.10, 逃逸星奖励: 715.10, 平均捕获率 (last20): 0.10, 终端距离: 2474.82, 终止原因: {'捕获': np.False_, '距离': np.float32(2474.8198), '时间': 771.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 480, 追击星奖励: -689.99, 逃逸星奖励: 691.43, 平均捕获率 (last20): 0.10, 终端距离: 1637.62, 终止原因: {'捕获': np.False_, '距离': np.float32(1637.6198), '时间': 721.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 500, 追击星奖励: -1342.24, 逃逸星奖励: 1342.24, 平均捕获率 (last20): 0.10, 终端距离: 2390.45, 终止原因: {'捕获': np.False_, '距离': np.float32(2390.447), '时间': 897.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 520, 追击星奖励: -814.58, 逃逸星奖励: 814.58, 平均捕获率 (last20): 0.15, 终端距离: 2449.64, 终止原因: {'捕获': np.False_, '距离': np.float32(2449.6428), '时间': 757.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 540, 追击星奖励: -1125.50, 逃逸星奖励: 1125.50, 平均捕获率 (last20): 0.15, 终端距离: 603.54, 终止原因: {'捕获': np.False_, '距离': np.float32(603.541), '时间': 780.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 560, 追击星奖励: -1274.76, 逃逸星奖励: 1276.09, 平均捕获率 (last20): 0.10, 终端距离: 2702.41, 终止原因: {'捕获': np.False_, '距离': np.float32(2702.4146), '时间': 700.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 580, 追击星奖励: -918.73, 逃逸星奖励: 918.73, 平均捕获率 (last20): 0.05, 终端距离: 1294.87, 终止原因: {'捕获': np.False_, '距离': np.float32(1294.8711), '时间': 891.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 600, 追击星奖励: -1156.45, 逃逸星奖励: 1156.45, 平均捕获率 (last20): 0.10, 终端距离: 1661.49, 终止原因: {'捕获': np.False_, '距离': np.float32(1661.4897), '时间': 726.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 620, 追击星奖励: -839.54, 逃逸星奖励: 839.54, 平均捕获率 (last20): 0.20, 终端距离: 2161.75, 终止原因: {'捕获': np.False_, '距离': np.float32(2161.7476), '时间': 824.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
